;; This is a kahuna data file for the year 2099
;; Comments are indicated by the two semicolons
;; The key of boundaries is З (next year will be Щ)
;; The columns below are:
;; month	day	doy	nday	ndayF	apostol	gospel
;; The first two columns are useless for the kahuna; they are only for debugging
;; Since you have to be a kahuna youself to use these data, there is no documentation
8	11	222	134	251	13	13
8	12	223	135	250	13	13
8	13	224	136	249	13	13
8	14	225	137	248	13	13
8	15	226	138	247	13	13
8	16	227	139	246	13	13
8	17	228	140	245	13	13
8	18	229	141	244	14	14
8	19	230	142	243	14	14
8	20	231	143	242	14	14
8	21	232	144	241	14	14
8	22	233	145	240	14	14
8	23	234	146	239	14	14
8	24	235	147	238	14	14
8	25	236	148	237	15	15
8	26	237	149	236	15	15
8	27	238	150	235	15	15
8	28	239	151	234	15	15
8	29	240	152	233	15	15
8	30	241	153	232	15	15
8	31	242	154	231	15	15
9	1	243	155	230	16	16
9	2	244	156	229	16	16
9	3	245	157	228	16	16
9	4	246	158	227	16	16
9	5	247	159	226	16	16
9	6	248	160	225	16	16
9	7	249	161	224	16	16
9	8	250	162	223	17	31
9	9	251	163	222	17	31
9	10	252	164	221	17	31
9	11	253	165	220	17	31
9	12	254	166	219	17	31
9	13	255	167	218	
9	14	256	168	217	
9	15	257	169	216	18	17
9	16	258	170	215	18	17
9	17	259	171	214	18	17
9	18	260	172	213	18	17
9	19	261	173	212	18	17
9	20	262	174	211	
9	21	263	175	210	18	17
9	22	264	176	209	19	18
9	23	265	177	208	19	18
9	24	266	178	207	19	18
9	25	267	179	206	19	18
9	26	268	180	205	19	18
9	27	269	181	204	19	18
9	28	270	182	203	19	18
9	29	271	183	202	20	19
9	30	272	184	201	20	19
10	1	273	185	200	20	19
10	2	274	186	199	20	19
10	3	275	187	198	20	19
10	4	276	188	197	20	19
10	5	277	189	196	20	19
10	6	278	190	195	21	20
10	7	279	191	194	21	20
10	8	280	192	193	21	20
10	9	281	193	192	21	20
10	10	282	194	191	21	20
10	11	283	195	190	21	20
10	12	284	196	189	21	20
10	13	285	197	188	22	21
10	14	286	198	187	22	21
10	15	287	199	186	22	21
10	16	288	200	185	22	21
10	17	289	201	184	22	21
10	18	290	202	183	22	21
10	19	291	203	182	22	21
10	20	292	204	181	23	22
10	21	293	205	180	23	22
10	22	294	206	179	23	22
10	23	295	207	178	23	22
10	24	296	208	177	23	22
10	25	297	209	176	23	22
10	26	298	210	175	23	22
10	27	299	211	174	24	23
10	28	300	212	173	24	23
10	29	301	213	172	24	23
10	30	302	214	171	24	23
10	31	303	215	170	24	23
11	1	304	216	169	24	23
11	2	305	217	168	24	23
11	3	306	218	167	25	24
11	4	307	219	166	25	24
11	5	308	220	165	25	24
11	6	309	221	164	25	24
11	7	310	222	163	25	24
11	8	311	223	162	25	24
11	9	312	224	161	25	24
11	10	313	225	160	26	25
11	11	314	226	159	26	25
11	12	315	227	158	26	25
11	13	316	228	157	26	25
11	14	317	229	156	26	25
11	15	318	230	155	31	25
11	16	319	231	154	26	25
11	17	320	232	153	27	26
11	18	321	233	152	27	26
11	19	322	234	151	27	26
11	20	323	235	150	27	26
11	21	324	236	149	27	26
11	22	325	237	148	27	26
11	23	326	238	147	27	26
11	24	327	239	146	28	27
11	25	328	240	145	28	27
11	26	329	241	144	28	27
11	27	330	242	143	28	27
11	28	331	243	142	28	27
11	29	332	244	141	28	27
11	30	333	245	140	28	27
12	1	334	246	139	29	28
12	2	335	247	138	29	28
12	3	336	248	137	29	28
12	4	337	249	136	29	28
12	5	338	250	135	29	28
12	6	339	251	134	29	28
12	7	340	252	133	30	29
12	8	341	253	132	30	29
12	9	342	254	131	30	29
12	10	343	255	130	30	29
12	11	344	256	129	30	29
12	12	345	257	128	30	29
12	13	346	258	127	30	30
12	14	347	259	126	29	28
12	15	348	260	125	31	30
12	16	349	261	124	31	30
12	17	350	262	123	31	30
12	18	351	263	122	31	30
12	19	352	264	121	31	30
12	20	353	265	120	26	29
12	21	354	266	119	
12	22	355	267	118	32	31
12	23	356	268	117	32	31
12	24	357	269	116	32	31
12	25	358	270	115	32	31
12	26	359	271	114	32	31
12	27	360	272	113	
12	28	361	273	112	
12	29	362	274	111	33	32
12	30	363	275	110	33	32
12	31	364	276	109	33	32
1	1	0	277	108	33	32
1	2	1	278	107	33	32
1	3	2	279	106	
1	4	3	280	105	
1	5	4	281	104	29	33
1	6	5	282	103	29	33
1	7	6	283	102	29	33
1	8	7	284	101	29	33
1	9	8	285	100	29	33
1	10	9	286	99	
1	11	10	287	98	
1	12	11	288	97	30	30
1	13	12	289	96	30	30
1	14	13	290	95	30	30
1	15	14	291	94	30	30
1	16	15	292	93	30	30
1	17	16	293	92	17	31
1	18	17	294	91	31	30
1	19	18	295	90	31	31
1	20	19	296	89	31	31
1	21	20	297	88	31	31
1	22	21	298	87	31	31
1	23	22	299	86	31	31
1	24	23	300	85	18	17
1	25	24	301	84	17	31
1	26	25	302	83	32	32
1	27	26	303	82	32	32
1	28	27	304	81	32	32
1	29	28	305	80	32	32
1	30	29	306	79	32	32
1	31	30	307	78	32	32
2	1	31	308	77	32	32
2	2	32	309	76	33	33
2	3	33	310	75	33	33
2	4	34	311	74	33	33
2	5	35	312	73	33	33
2	6	36	313	72	33	33
2	7	37	314	71	33	33
